,index,Movie,Release Date,ARR,prod_budget_bucket,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,person_id,primary_name,birth_year,death_year,primary_profession
0,3886,Shine,1996,6.667725999999999,b1,tt4064912,Shine,Shine,2017,95.0,"Drama,Music",nm2493004,Anthony Nardolillo,,,"director,writer,producer"
4,3887,Don Jon,2013,7.503378,b1,tt2229499,Don Jon,Don Jon,2013,90.0,"Comedy,Drama,Romance",nm0330687,Joseph Gordon-Levitt,1981.0,,"actor,producer,soundtrack"
7,3888,Hell Fest,2018,3.2944056363636363,b1,tt1999890,Hell Fest,Hell Fest,2018,89.0,Horror,nm0687427,Gregory Plotkin,,,"editorial_department,editor,producer"
13,3891,Iris,2001,1.0146325454545455,b1,tt1606618,Iris,Iris,2011,85.0,"Drama,Family,History",nm0071070,Ulrika Bengts,1962.0,,"director,writer,sound_department"
15,3896,Le Havre,2011,2.450944727272727,b1,tt1508675,Le Havre,Le Havre,2011,93.0,"Comedy,Drama",nm0442454,Aki Kaurismäki,1957.0,,"producer,writer,director"
17,3898,Salvation Boulevard,2011,0.005176,b1,tt1251743,Salvation Boulevard,Salvation Boulevard,2011,96.0,"Action,Comedy,Drama",nm0711807,George Ratliff,1968.0,,"director,producer,writer"
26,3899,R100,2015,0.004537454545454545,b1,tt2914838,R100,R100,2013,99.0,"Comedy,Drama",nm1035719,Hitoshi Matsumoto,1963.0,,"writer,actor,producer"
36,3900,Miss Julie,2015,0.15707181818181815,b1,tt2298738,Miss Julie,Fröken Julie,2013,85.0,"Drama,Romance",nm5165015,Mikael Berg,,,"director,writer,producer"
40,3901,Animals,2008,0.0,b1,tt1298530,Animals,Animals,2012,94.0,"Drama,Fantasy",nm2253409,Marçal Forés,,,"director,writer,assistant_director"
43,3902,Irreversible,2003,1.5061585185185185,b1,tt3882396,Irreversible,Irreversible,2014,100.0,Drama,nm5905620,Lu Yaeger,,,"director,writer,producer"
44,3905,Grabbers,2013,0.08317377358490566,b1,tt1525366,Grabbers,Grabbers,2012,94.0,"Comedy,Horror,Sci-Fi",nm1229323,Jon Wright,1971.0,,"director,writer"
47,3912,Dum Maaro Dum,2011,2.2371974999999997,b1,tt1618430,Dum Maaro Dum,Dum Maaro Dum,2011,128.0,"Action,Crime,Drama",nm1391682,Rohan Sippy,,,"producer,director,actor"
56,3914,Get Out,2017,51.0735902,b1,tt5052448,Get Out,Get Out,2017,104.0,"Horror,Mystery,Thriller",nm1443502,Jordan Peele,1979.0,,"actor,writer,producer"
59,3915,Split,2017,55.79296120000001,b1,tt2660118,Split,Split,2016,90.0,"Comedy,Romance,Sport",nm1406121,Jamie Buckner,1980.0,,"miscellaneous,production_manager,producer"
61,3916,Paranormal Activity 3,2011,41.4079688,b1,tt1778304,Paranormal Activity 3,Paranormal Activity 3,2011,83.0,"Horror,Mystery,Thriller",nm1413364,Ariel Schulman,,,"writer,producer,director"
62,3916,Paranormal Activity 3,2011,41.4079688,b1,tt1778304,Paranormal Activity 3,Paranormal Activity 3,2011,83.0,"Horror,Mystery,Thriller",nm1160962,Henry Joost,,,"writer,producer,director"
73,3919,10 Cloverfield Lane,2016,21.657284399999998,b1,tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,2016,103.0,"Drama,Horror,Mystery",nm0870469,Dan Trachtenberg,,,"director,writer,camera_department"
82,3920,Lights Out,2016,29.761302,b1,tt1085448,Lights Out,Lights Out,2010,,Drama,nm1581380,Gregori J. Martin,1978.0,,"producer,writer,director"
83,3921,The Visit,2015,19.735563199999998,b1,tt1605776,The Visit,The Visit,2010,90.0,"Comedy,Drama,Romance",nm3814586,Richard Dailey,,,"producer,director,writer"
86,3923,Happy Death Day,2017,25.002052,b1,tt5308322,Happy Death Day,Happy Death Day,2017,96.0,"Horror,Mystery,Thriller",nm0484907,Christopher Landon,1975.0,,"writer,producer,director"
89,3924,Paranormal Activity 4,2012,28.5635984,b1,tt2109184,Paranormal Activity 4,Paranormal Activity 4,2012,88.0,"Horror,Mystery,Thriller",nm1160962,Henry Joost,,,"writer,producer,director"
90,3924,Paranormal Activity 4,2012,28.5635984,b1,tt2109184,Paranormal Activity 4,Paranormal Activity 4,2012,88.0,"Horror,Mystery,Thriller",nm1413364,Ariel Schulman,,,"writer,producer,director"
107,3925,Ouija,2014,20.6601264,b1,tt1204977,Ouija,Ouija,2014,89.0,"Horror,Mystery,Thriller",nm0925482,Stiles White,,,"special_effects,writer,producer"
113,3927,The Gift,2015,11.7956954,b1,tt1494821,The Gift,The Gift,2010,,Drama,nm0808527,J. Jesses Smith,,,"director,producer,actor"
115,3928,The Big Sick,2017,10.794572,b1,tt5462602,The Big Sick,The Big Sick,2017,120.0,"Comedy,Drama,Romance",nm0795290,Michael Showalter,1970.0,,"writer,actor,producer"
121,3931,Monster,2003,12.848162599999998,b1,tt1617136,Monster,Monster,2010,85.0,"Action,Adventure,Comedy",nm3427857,Robert Aldrich,,,"camera_department,cinematographer,producer"
122,3931,Monster,2003,12.848162599999998,b1,tt1617136,Monster,Monster,2010,85.0,"Action,Adventure,Comedy",nm0397712,James Howarth,1973.0,,"actor,producer,director"
125,3932,Paranormal Activity: The Marked Ones,2014,18.1809708,b1,tt2473682,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,2014,84.0,"Horror,Mystery,Thriller",nm0484907,Christopher Landon,1975.0,,"writer,producer,director"
