index,Movie ID,Movie,Release Date,ARR,prod_budget_bucket
3886,tt4064912,Shine,1996,6.667726,b1
3887,tt2229499,Don Jon,2013,7.503378,b1
3887,tt2229499,Don Jon,2013,7.503378,b1
3887,tt2229499,Don Jon,2013,7.503378,b1
3888,tt1999890,Hell Fest,2018,3.2944056363636363,b1
3891,tt1606618,Iris,2001,1.0146325454545455,b1
3896,tt1508675,Le Havre,2011,2.450944727272727,b1
3896,tt1508675,Le Havre,2011,2.450944727272727,b1
3898,tt1251743,Salvation Boulevard,2011,0.005176,b1
3898,tt1251743,Salvation Boulevard,2011,0.005176,b1
3898,tt1251743,Salvation Boulevard,2011,0.005176,b1
3899,tt2914838,R100,2015,0.004537454545454545,b1
3899,tt2914838,R100,2015,0.004537454545454545,b1
3900,tt2298738,Miss Julie,2015,0.15707181818181817,b1
3900,tt2298738,Miss Julie,2015,0.15707181818181817,b1
3901,tt1298530,Animals,2008,0.0,b1
3902,tt3882396,Irreversible,2003,1.5061585185185185,b1
3905,tt1525366,Grabbers,2013,0.08317377358490566,b1
3905,tt1525366,Grabbers,2013,0.08317377358490566,b1
3905,tt1525366,Grabbers,2013,0.08317377358490566,b1
3912,tt1618430,Dum Maaro Dum,2011,2.2371975,b1
3912,tt1618430,Dum Maaro Dum,2011,2.2371975,b1
3912,tt1618430,Dum Maaro Dum,2011,2.2371975,b1
3914,tt5052448,Get Out,2017,51.0735902,b1
3914,tt5052448,Get Out,2017,51.0735902,b1
3914,tt5052448,Get Out,2017,51.0735902,b1
3915,tt2660118,Split,2017,55.7929612,b1
3915,tt2660118,Split,2017,55.7929612,b1
3916,tt1778304,Paranormal Activity 3,2011,41.4079688,b1
3916,tt1778304,Paranormal Activity 3,2011,41.4079688,b1
3916,tt1778304,Paranormal Activity 3,2011,41.4079688,b1
3919,tt1179933,10 Cloverfield Lane,2016,21.6572844,b1
3919,tt1179933,10 Cloverfield Lane,2016,21.6572844,b1
3919,tt1179933,10 Cloverfield Lane,2016,21.6572844,b1
3920,tt1085448,Lights Out,2016,29.761302,b1
3921,tt1605776,The Visit,2015,19.7355632,b1
3921,tt1605776,The Visit,2015,19.7355632,b1
3921,tt1605776,The Visit,2015,19.7355632,b1
3923,tt5308322,Happy Death Day,2017,25.002052,b1
3923,tt5308322,Happy Death Day,2017,25.002052,b1
3923,tt5308322,Happy Death Day,2017,25.002052,b1
3924,tt2109184,Paranormal Activity 4,2012,28.5635984,b1
3924,tt2109184,Paranormal Activity 4,2012,28.5635984,b1
3924,tt2109184,Paranormal Activity 4,2012,28.5635984,b1
3925,tt1204977,Ouija,2014,20.6601264,b1
3925,tt1204977,Ouija,2014,20.6601264,b1
3925,tt1204977,Ouija,2014,20.6601264,b1
3927,tt1494821,The Gift,2015,11.7956954,b1
3928,tt5462602,The Big Sick,2017,10.794572,b1
3928,tt5462602,The Big Sick,2017,10.794572,b1
3928,tt5462602,The Big Sick,2017,10.794572,b1
3931,tt1617136,Monster,2003,12.8481626,b1
3931,tt1617136,Monster,2003,12.8481626,b1
3932,tt2473682,Paranormal Activity: The Marked Ones,2014,18.1809708,b1
3932,tt2473682,Paranormal Activity: The Marked Ones,2014,18.1809708,b1
3932,tt2473682,Paranormal Activity: The Marked Ones,2014,18.1809708,b1
3933,tt2388715,Oculus,2014,8.8230992,b1
3933,tt2388715,Oculus,2014,8.8230992,b1
3934,tt0790636,Dallas Buyers Club,2013,12.122369,b1
3935,tt1781922,No Escape,2015,8.5689032,b1
3935,tt1781922,No Escape,2015,8.5689032,b1
3936,tt2918436,The Lazarus Effect,2015,7.671862,b1
3936,tt2918436,The Lazarus Effect,2015,7.671862,b1
3936,tt2918436,The Lazarus Effect,2015,7.671862,b1
3938,tt1637706,Our Idiot Brother,2011,5.1722498,b1
3938,tt1637706,Our Idiot Brother,2011,5.1722498,b1
3939,tt1285009,The Strangers: Prey at Night,2018,5.9920102,b1
3942,tt4085696,Billy Elliot,2000,21.850749,b1
3942,tt4085696,Billy Elliot,2000,21.850749,b1
3943,tt1727388,The Way Way Back,2013,5.370762,b1
3943,tt1727388,The Way Way Back,2013,5.370762,b1
3944,tt10012842,"As Above, So Below",2014,8.3648132,b1
3946,tt1331294,The Apostle,1997,4.255554,b1
3949,tt1568874,Race,2016,4.7491544,b1
3950,tt3316960,Still Alice,2015,8.3399224,b1
3951,tt1772240,Apollo 18,2011,5.3035638,b1
3951,tt1772240,Apollo 18,2011,5.3035638,b1
3951,tt1772240,Apollo 18,2011,5.3035638,b1
3952,tt7388562,"Paul, Apostle of Christ",2018,5.1058996,b1
3953,tt2205401,Addicted,2014,3.4998484,b1
3953,tt2205401,Addicted,2014,3.4998484,b1
3957,tt2101441,Spring Breakers,2013,6.2298502,b1
3957,tt2101441,Spring Breakers,2013,6.2298502,b1
3957,tt2101441,Spring Breakers,2013,6.2298502,b1
3958,tt4695012,It Comes at Night,2017,3.9440406,b1
3958,tt4695012,It Comes at Night,2017,3.9440406,b1
3964,tt1691916,Before I Fall,2017,3.7891364,b1
3964,tt1691916,Before I Fall,2017,3.7891364,b1
3966,tt4667094,Fifty Shades of Black,2016,4.422615,b1
3969,tt1082807,The Belko Experiment,2017,2.3585884,b1
3969,tt1082807,The Belko Experiment,2017,2.3585884,b1
3970,tt3444696,The Perfect Match,2016,2.03641,b1
3974,tt5124556,The Forsaken,2001,1.3510542,b1
3974,tt5124556,The Forsaken,2001,1.3510542,b1
3974,tt5124556,The Forsaken,2001,1.3510542,b1
3975,tt8632862,Fahrenheit 11/9,2018,1.330743,b1
3976,tt1529567,Sea Rex 3D: Journey to a Prehistoric World,2010,3.3030406,b1
3982,tt4337690,90 Minutes in Heaven,2015,0.9632284,b1
3983,tt3216348,Incarnate,2016,1.8742072,b1
3983,tt3216348,Incarnate,2016,1.8742072,b1
3988,tt1412528,Table 19,2017,0.9240798,b1
3988,tt1412528,Table 19,2017,0.9240798,b1
3988,tt1412528,Table 19,2017,0.9240798,b1
3989,tt4062536,Green Room,2016,0.7615006,b1
3989,tt4062536,Green Room,2016,0.7615006,b1
3990,tt5649108,Thoroughbreds,2018,0.6374604,b1
3990,tt5649108,Thoroughbreds,2018,0.6374604,b1
3990,tt5649108,Thoroughbreds,2018,0.6374604,b1
3992,tt3566920,The Other Side of the Door,2016,2.5810214,b1
3993,tt1531663,Everything Must Go,2011,0.564202,b1
3993,tt1531663,Everything Must Go,2011,0.564202,b1
