index,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ARR,Movie Id,Genres,prod_budget_bucket
3886,17,1996,Shine,5500000,35811509,36672493,31172493,6.667726,tt4064912,Drama,b1
3887,18,2013,Don Jon,5500000,24477704,41268579,35768579,7.503378,tt2229499,Comedy,b1
3887,18,2013,Don Jon,5500000,24477704,41268579,35768579,7.503378,tt2229499,Drama,b1
3887,18,2013,Don Jon,5500000,24477704,41268579,35768579,7.503378,tt2229499,Romance,b1
3888,20,2018,Hell Fest,5500000,11107431,18119231,12619231,3.2944056363636363,tt1999890,Horror,b1
3891,23,2001,Iris,5500000,5580479,5580479,80479,1.0146325454545455,tt1606618,Drama,b1
3896,29,2011,Le Havre,5500000,611709,13480196,7980196,2.450944727272727,tt1508675,Comedy,b1
3896,29,2011,Le Havre,5500000,611709,13480196,7980196,2.450944727272727,tt1508675,Drama,b1
3898,31,2011,Salvation Boulevard,5500000,28468,28468,-5471532,0.005176,tt1251743,Action,b1
3898,31,2011,Salvation Boulevard,5500000,28468,28468,-5471532,0.005176,tt1251743,Comedy,b1
3898,31,2011,Salvation Boulevard,5500000,28468,28468,-5471532,0.005176,tt1251743,Drama,b1
3899,32,2015,R100,5500000,24956,24956,-5475044,0.004537454545454545,tt2914838,Comedy,b1
3899,32,2015,R100,5500000,24956,24956,-5475044,0.004537454545454545,tt2914838,Drama,b1
3900,33,2015,Miss Julie,5500000,0,863895,-4636105,0.15707181818181817,tt2298738,Drama,b1
3900,33,2015,Miss Julie,5500000,0,863895,-4636105,0.15707181818181817,tt2298738,Romance,b1
3901,34,2008,Animals,5500000,0,0,-5500000,0.0,tt1298530,Drama,b1
3902,35,2003,Irreversible,5400000,792200,8133256,2733256,1.5061585185185185,tt3882396,Drama,b1
3905,38,2013,Grabbers,5300000,0,440821,-4859179,0.08317377358490566,tt1525366,Comedy,b1
3905,38,2013,Grabbers,5300000,0,440821,-4859179,0.08317377358490566,tt1525366,Horror,b1
3905,38,2013,Grabbers,5300000,0,440821,-4859179,0.08317377358490566,tt1525366,Sci-Fi,b1
3912,46,2011,Dum Maaro Dum,5200000,564489,11633427,6433427,2.2371975,tt1618430,Action,b1
