,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Genres,bucket
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Horror,r1
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Mystery,r1
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Thriller,r1
14,12,2012,The Devil Inside,1000000,53262945,101759490,154022435,155.022435,Horror,r1
21,90,2014,God's Not Dead,1150000,60755732,63777092,123382824,108.28941217391305,Drama,r1
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Horror,r1
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Mystery,r1
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Thriller,r1
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Horror,r1
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Mystery,r1
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Thriller,r1
26,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,r1
29,65,2010,Paranormal Activity 2,3000000,84752907,177512032,259264939,87.42164633333333,Horror,r1
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Horror,r1
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Mystery,r1
30,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Thriller,r1
31,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Comedy,r1
31,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Romance,r1
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Horror,r1
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Mystery,r1
35,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Thriller,r1
36,64,2016,Moonlight,1500000,27854931,65245512,91600443,62.066962,Drama,r1
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Drama,r1
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Horror,r1
38,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Thriller,r1
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Horror,r1
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Mystery,r1
39,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Thriller,r1
40,16,1996,Swingers,200000,4505922,6618578,10924500,55.6225,Comedy,r1
41,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Horror,r1
41,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Thriller,r1
46,66,2015,War Room,3000000,67790117,73975239,138765356,47.25511866666667,Drama,r1
49,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Action,r1
