,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Genres
10,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Horror
10,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Mystery
10,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Thriller
12,65,2010,Paranormal Activity 2,3000000,84752907,177512032,259264939,87.42164633333333,Horror
13,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Horror
13,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Mystery
13,49,2017,Get Out,5000000,176040665,255367951,426408616,86.2817232,Thriller
14,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Comedy
14,50,2017,Split,5000000,138141585,278964806,412106391,83.4212782,Romance
16,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Horror
16,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Mystery
16,51,2011,Paranormal Activity 3,5000000,104028807,207039844,306068651,62.2137302,Thriller
17,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Drama
17,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Horror
17,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Thriller
18,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Horror
18,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Mystery
18,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Thriller
21,66,2015,War Room,3000000,67790117,73975239,138765356,47.25511866666667,Drama
23,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Action
23,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Comedy
23,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Horror
24,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Horror
24,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Mystery
24,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Thriller
25,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Drama
25,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Romance
26,55,2016,Lights Out,5000000,67268835,148806510,211075345,43.215069,Drama
28,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Comedy
28,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Drama
29,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror
29,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance
29,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller
30,78,1998,Cube,250000,489220,8969065,9208285,37.83314,Documentary
31,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Drama
31,38,2013,Fruitvale Station,900000,16098998,17549645,32748643,37.38738111111111,Romance
32,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Horror
32,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Mystery
32,58,2017,Happy Death Day,5000000,55683845,125010260,175694105,36.138821,Thriller
34,87,2011,Courageous,2000000,34522221,35185884,67708105,34.8540525,Drama
36,65,2003,Cabin Fever,1500000,21158188,30351664,50009852,34.33990133333333,Horror
