,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ROI,Movie Id,Genres,Name
0,20,2018,Hell Fest,5500000,11107431,18119231,12619231,3.2944056363636363,tt1999890,['Horror'],Gregory Plotkin
1,38,2013,Grabbers,5300000,0,440821,-4859179,0.08317377358490566,tt1525366,"['Comedy', 'Horror', 'Sci-Fi']",Jon Wright
2,49,2017,Get Out,5000000,176040665,255367951,250367951,51.0735902,tt5052448,"['Horror', 'Mystery', 'Thriller']",Jordan Peele
4,54,2016,10 Cloverfield Lane,5000000,72082999,108286422,103286422,21.6572844,tt1179933,"['Drama', 'Horror', 'Mystery']",Dan Trachtenberg
7,60,2014,Ouija,5000000,50856010,103300632,98300632,20.6601264,tt1204977,"['Horror', 'Mystery', 'Thriller']",Stiles White
12,79,2018,The Strangers: Prey at Night,5000000,24431472,29960051,24960051,5.9920102,tt1285009,['Horror'],Johannes Roberts
13,86,1997,The Apostle,5000000,20733485,21277770,16277770,4.255554,tt1331294,"['Animation', 'Horror']",Fernando Cortizo
14,86,1997,The Apostle,5000000,20733485,21277770,16277770,4.255554,tt1331294,"['Animation', 'Horror']",Macy Armstrong
15,94,2011,Apollo 18,5000000,17686929,26517819,21517819,5.3035638,tt1772240,"['Horror', 'Mystery', 'Sci-Fi']",Gonzalo López-Gallego
16,96,2014,Addicted,5000000,17390770,17499242,12499242,3.4998484,tt2205401,"['Drama', 'Thriller']",Guy Boudreaux
17,96,2014,Addicted,5000000,17390770,17499242,12499242,3.4998484,tt2205401,"['Drama', 'Thriller']",Cleiton Schneider
18,96,2014,Addicted,5000000,17390770,17499242,12499242,3.4998484,tt2205401,"['Drama', 'Thriller']",Darren K. Skiggs
20,12,2017,Before I Fall,5000000,12241072,18945682,13945682,3.7891364,tt1691916,"['Drama', 'Fantasy', 'Mystery']",Ry Russo-Young
21,21,2017,The Belko Experiment,5000000,10166820,11792942,6792942,2.3585884,tt1082807,"['Horror', 'Thriller']",Greg McLean
25,60,2014,Atlas Shrugged: Who Is John Galt?,5000000,851690,851690,-4148310,0.170338,tt2800038,"['Drama', 'Mystery', 'Sci-Fi']",James Manera
27,80,2009,Grace,5000000,8297,8297,-4991703,0.0016594,tt1555814,"['Crime', 'Drama', 'Horror']",Rodger Edralin
28,80,2009,Grace,5000000,8297,8297,-4991703,0.0016594,tt1555814,"['Crime', 'Drama', 'Horror']",Devin Adair
29,81,2015,Area 51,5000000,7556,7556,-4992444,0.0015112,tt1519461,"['Horror', 'Sci-Fi', 'Thriller']",Oren Peli
30,84,2008,The Cottage,5000000,0,1504960,-3495040,0.300992,tt1977941,"['Drama', 'Horror', 'Thriller']",Wyatt Kuether
31,84,2008,The Cottage,5000000,0,1504960,-3495040,0.300992,tt1977941,"['Drama', 'Horror', 'Thriller']",Carolyn Kuether
32,85,2014,Dying of the Light,5000000,0,74639,-4925361,0.0149278,tt1274586,"['Drama', 'Thriller']",Paul Schrader
33,92,2015,Born of War,5000000,0,0,-5000000,0.0,tt1554921,"['Action', 'Drama', 'Thriller']",Vicky Jewson
34,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,"['Horror', 'Thriller']",Vince Rotonda
35,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,"['Horror', 'Thriller']",Alix Jackson
36,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,"['Horror', 'Thriller']",James Omokwe
37,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,"['Horror', 'Thriller']",Nick Murphy
38,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,"['Horror', 'Thriller']",Kostas Metaxas
39,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,"['Horror', 'Thriller']",Ethan Okwara
40,9,2011,Take Shelter,4750000,1728953,4972016,222016,1.0467402105263157,tt1675192,"['Drama', 'Horror', 'Thriller']",Jeff Nichols
41,47,2015,Maggie,4500000,187112,1027760,-3472240,0.2283911111111111,tt1881002,"['Drama', 'Horror']",Henry Hobson
42,47,2015,Maggie,4500000,187112,1027760,-3472240,0.2283911111111111,tt1881002,"['Drama', 'Horror']",Okseop Lee
43,55,2013,Hansel & Gretel Get Baked,4500000,0,0,-4500000,0.0,tt2081194,"['Comedy', 'Horror']",Duane Journey
45,57,2015,Zipper,4500000,0,0,-4500000,0.0,tt3346224,"['Drama', 'Thriller']",Mora Stephens
46,64,2014,Anna,4357373,0,1200000,-3157373,0.2753952897766613,tt1715336,"['Drama', 'Mystery', 'Sci-Fi']",Jorge Dorado
47,64,2014,Anna,4357373,0,1200000,-3157373,0.2753952897766613,tt1715336,"['Drama', 'Mystery', 'Sci-Fi']",Celia Quartermain
48,64,2014,Anna,4357373,0,1200000,-3157373,0.2753952897766613,tt1715336,"['Drama', 'Mystery', 'Sci-Fi']",Jacques Toulemonde Vidal
49,64,2014,Anna,4357373,0,1200000,-3157373,0.2753952897766613,tt1715336,"['Drama', 'Mystery', 'Sci-Fi']",Shashank Udapurkar
52,95,2000,Saving Grace,4000000,12178602,27786849,23786849,6.94671225,tt1691149,"['Crime', 'Drama', 'Horror']",Chris Pickle
54,100,2001,The Wash,4000000,10097096,10097096,6097096,2.524274,tt2025702,['Thriller'],Seth Harden
55,8,2007,Bug,4000000,7006708,8302995,4302995,2.07574875,tt3749926,"['Drama', 'Mystery', 'Thriller']",Parker Dorris
56,22,2011,Red State,4000000,1065429,1983596,-2016404,0.495899,tt0873886,"['Action', 'Crime', 'Horror']",Kevin Smith
58,29,2014,The Face of Love,4000000,385069,1158877,-2841123,0.28971925,tt1839642,"['Drama', 'Mystery', 'Romance']",Arie Posin
59,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,"['Crime', 'Drama', 'Thriller']",Angus Benfield
60,43,2011,Trust,4000000,120016,120016,-3879984,0.030004,tt1529572,"['Crime', 'Drama', 'Thriller']",David Schwimmer
