,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,RBR,Genres,Name,Primary Profession
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Horror,Chris Lofing,"producer,director,writer"
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Mystery,Chris Lofing,"producer,director,writer"
2,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Thriller,Chris Lofing,"producer,director,writer"
3,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Horror,Travis Cluff,"producer,actor,director"
3,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Mystery,Travis Cluff,"producer,actor,director"
3,80,2015,The Gallows,100000,22764410,41656474,64320884,644.20884,Thriller,Travis Cluff,"producer,actor,director"
15,12,2012,The Devil Inside,1000000,53262945,101759490,154022435,155.022435,Horror,William Brent Bell,"director,producer,writer"
21,90,2014,God's Not Dead,1150000,60755732,63777092,123382824,108.28941217391305,Drama,Harold Cronk,"director,producer,writer"
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Horror,James Wan,"producer,writer,director"
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Mystery,James Wan,"producer,writer,director"
23,63,2011,Insidious,1500000,54009150,99870886,152380036,102.58669066666667,Thriller,James Wan,"producer,writer,director"
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Horror,Levan Gabriadze,"director,actor,camera_department"
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Mystery,Levan Gabriadze,"director,actor,camera_department"
24,14,2015,Unfriended,1000000,32789645,64364198,96153843,97.153843,Thriller,Levan Gabriadze,"director,actor,camera_department"
26,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Tim Johnson,"director,producer,miscellaneous"
27,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Muzaffer Özdemir,"actor,director"
28,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Jono Oliver,"assistant_director,director,miscellaneous"
29,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Fien Troch,"director,writer,producer"
30,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Júlio Alves,"director,writer,assistant_director"
32,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Oleg Pogodin,"writer,director"
33,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Katharine Round,"producer,director,editor"
34,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Ramón Gieling,"director,writer,editor"
35,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Maximilian Hult,"director,writer,miscellaneous"
36,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Damien O'Neill,"editor,director,actor"
37,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Dario Pleic,"director,writer,assistant_director"
38,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Frank Lin,"director,writer,producer"
39,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Yotam Rozin,"animation_department,producer,director"
40,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Ruslan Magomadov,"director,writer,editor"
41,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,James Bailey,"sound_department,director,camera_department"
42,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Vik Sivalingham,director
43,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Robert Schulzmann,"director,cinematographer,producer"
44,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Michelle Groves,"miscellaneous,assistant_director,director"
45,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Anne Klint,"director,writer,cinematographer"
46,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Ryan Lee,director
47,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Ruby Klein,"writer,director,actor"
48,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Asaf Lavi Harel,"editor,director,writer"
49,60,2009,Home,500000,15433,44793168,44308601,89.617202,Drama,Ben Ducker,"director,writer,producer"
52,65,2010,Paranormal Activity 2,3000000,84752907,177512032,259264939,87.42164633333333,Horror,Tod Williams,"director,writer,producer"
56,64,2016,Moonlight,1500000,27854931,65245512,91600443,62.066962,Drama,Barry Jenkins,"writer,director,producer"
57,64,2016,Moonlight,1500000,27854931,65245512,91600443,62.066962,Drama,Jill Wong,"assistant_director,director,actor"
59,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Drama,Daniel Stamm,"director,writer"
59,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Horror,Daniel Stamm,"director,writer"
59,15,2010,The Last Exorcism,1800000,41034350,70165900,109400250,61.77791666666667,Thriller,Daniel Stamm,"director,writer"
60,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Horror,Bradley Parker,"visual_effects,director,art_department"
60,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Mystery,Bradley Parker,"visual_effects,director,art_department"
60,18,2012,Chernobyl Diaries,1000000,18119640,42411721,59531361,60.531361,Thriller,Bradley Parker,"visual_effects,director,art_department"
61,16,1996,Swingers,200000,4505922,6618578,10924500,55.6225,Comedy,Andrejs Ekis,"producer,director,writer"
62,16,1996,Swingers,200000,4505922,6618578,10924500,55.6225,Comedy,Pamela Tola,"actress,writer,director"
63,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Horror,James DeMonaco,"writer,producer,director"
63,67,2013,The Purge,3000000,64473115,91266581,152739696,51.913232,Thriller,James DeMonaco,"writer,producer,director"
66,66,2015,War Room,3000000,67790117,73975239,138765356,47.25511866666667,Drama,Alex Kendrick,"actor,writer,director"
69,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Action,Adam Wingard,"director,editor,cinematographer"
69,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Comedy,Adam Wingard,"director,editor,cinematographer"
69,17,2013,You're Next,1000000,18494006,26887177,44381183,45.381183,Horror,Adam Wingard,"director,editor,cinematographer"
70,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Horror,Scott Derrickson,"writer,director,producer"
70,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Mystery,Scott Derrickson,"writer,director,producer"
70,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Thriller,Scott Derrickson,"writer,director,producer"
71,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Horror,Holly Bell,director
71,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Mystery,Holly Bell,director
71,69,2012,Sinister,3000000,48086903,87727807,132814710,45.27157,Thriller,Holly Bell,director
72,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Drama,David Lowery,"editor,producer,director"
72,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Fantasy,David Lowery,"editor,producer,director"
72,86,2017,A Ghost Story,100000,1594798,2769782,4264580,43.6458,Romance,David Lowery,"editor,producer,director"
76,12,2013,A Haunted House,2500000,40041683,59922558,97464241,39.9856964,Comedy,Michael Tiddes,"director,producer,writer"
76,12,2013,A Haunted House,2500000,40041683,59922558,97464241,39.9856964,Fantasy,Michael Tiddes,"director,producer,writer"
78,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Comedy,Lynn Shelton,"director,actress,producer"
78,73,2012,Your Sister's Sister,120000,1597486,3090593,4568079,39.067325,Drama,Lynn Shelton,"director,actress,producer"
79,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,Jeff Wadlow,"producer,writer,director"
79,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,Jeff Wadlow,"producer,writer,director"
79,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,Jeff Wadlow,"producer,writer,director"
80,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,Jessica Cameron,"actress,producer,director"
80,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,Jessica Cameron,"actress,producer,director"
80,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,Jessica Cameron,"actress,producer,director"
81,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,Tom Boyle,"producer,writer,cinematographer"
81,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,Tom Boyle,"producer,writer,cinematographer"
81,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,Tom Boyle,"producer,writer,cinematographer"
82,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Horror,Zhi-yu Ma,"director,writer"
82,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Romance,Zhi-yu Ma,"director,writer"
82,91,2018,Truth or Dare,3500000,41411015,95127344,133038359,39.01095971428571,Thriller,Zhi-yu Ma,"director,writer"
